Table,privilege,,
ColumnConstrained,ConstraintTable,ConstraintField,ConstraintEquivalence
Data,,,
name
Access Schematics
Acknowledge Alarms
Admin Carriers
Admin Docks
Admin Links
Admin Plot Groups
Admin Process Units
Admin Ship
AdminPipes
AI Admin
Alarm Message Admin
Alarm Type Admin
AO Admin
Calc Admin
Configuration
ControlBlock Admin
DI Admin
DO Admin
DockVessel
Execute Crude Field
Execute Refined Field
Execute Transfer
Field Admin
OrderAdmin
Role Admin
Schematic Admin
Tag Admin
Tank Admin
Transfer Admin
User Admin
View Admin Tab
View Alarms
View Alarms Tab
View Carriers
View Crude Field
View Field Displays Tab
View Fields
View Links
View Orders
View Plot Groups
View Process Units
View Refined Field
View Site
View Tanks
View Transfer
View Transfer Tab
View Users
End